               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.128,            0.031598,            0.053597,           0.0012039,              0.0842,          0.00089456,          0.00025018,             0.12638,            0.020791,            0.054918,              0.0892,              0.0012,              0.0012
                   1,             0.12053,            0.037723,            0.052376,           0.0020589,             0.15978,           0.0019153,           0.0006313,             0.11771,            0.022906,            0.054451,            0.077451,           0.0024505,           0.0024505
                   2,             0.11265,             0.04253,             0.05086,           0.0032243,             0.24203,           0.0033945,          0.00086038,             0.10955,            0.024952,            0.051443,             0.06565,           0.0036495,           0.0036495
                   3,             0.10573,            0.046457,            0.045895,            0.024924,             0.15461,            0.015708,           0.0042132,             0.10552,            0.025354,            0.046733,            0.053797,           0.0047971,           0.0047971
                   4,            0.099779,            0.047804,            0.043306,            0.053068,            0.091526,            0.023571,           0.0071804,             0.10184,             0.02653,            0.045374,            0.041893,           0.0058931,           0.0058931
                   5,            0.097355,            0.048498,            0.040784,             0.22511,             0.19185,            0.043148,            0.014935,            0.098063,            0.028916,            0.042329,            0.029938,           0.0069377,           0.0069377
                   6,            0.095247,            0.050704,             0.03722,             0.19345,            0.071505,            0.021887,           0.0063944,              0.1015,            0.027968,            0.040425,            0.017931,           0.0079308,           0.0079308
                   7,            0.093309,             0.05028,            0.034724,             0.04052,             0.11335,            0.029634,            0.013959,            0.094983,             0.02962,            0.036813,            0.008614,            0.008614,            0.008614
                   8,            0.089073,             0.04843,            0.035322,            0.088984,             0.12508,            0.047218,            0.016276,            0.089477,            0.028705,            0.036275,            0.008614,            0.008614,            0.008614
                   9,             0.08721,            0.053011,            0.032422,             0.26657,            0.091419,            0.039633,            0.016477,            0.094563,            0.029491,            0.035385,            0.008416,            0.008416,            0.008416
                  10,             0.08363,            0.053584,            0.030802,             0.22962,             0.16795,             0.04617,            0.014857,            0.089703,            0.031062,            0.035747,            0.008218,            0.008218,            0.008218
                  11,            0.083099,            0.047103,            0.030704,             0.27351,             0.22492,            0.077873,            0.026944,              0.0868,            0.031947,            0.037088,             0.00802,             0.00802,             0.00802
                  12,            0.080652,            0.051246,            0.028114,             0.28328,             0.21454,              0.1291,             0.04191,            0.085211,            0.034736,            0.030684,            0.007822,            0.007822,            0.007822
                  13,            0.079874,            0.047783,            0.026103,             0.34018,             0.19382,             0.14143,            0.054561,            0.081628,            0.033469,            0.028768,            0.007624,            0.007624,            0.007624
                  14,            0.077511,            0.051373,              0.0238,             0.45918,             0.21261,             0.13604,            0.048273,            0.082298,            0.035703,            0.027157,            0.007426,            0.007426,            0.007426
                  15,            0.075714,            0.045056,            0.022963,             0.47258,             0.25992,             0.16527,            0.066086,            0.080388,             0.03064,            0.027631,            0.007228,            0.007228,            0.007228
                  16,            0.076725,            0.050514,            0.022003,             0.49486,             0.18287,             0.13034,            0.047278,            0.079104,            0.029006,            0.025703,             0.00703,             0.00703,             0.00703
                  17,            0.074824,            0.047422,            0.018604,             0.49751,             0.26423,             0.16327,            0.068861,            0.076277,            0.028261,            0.025829,            0.006832,            0.006832,            0.006832
                  18,             0.07249,            0.047417,            0.017391,             0.50608,               0.199,              0.1686,            0.068771,            0.077574,            0.028482,             0.02534,            0.006634,            0.006634,            0.006634
                  19,            0.071824,            0.049597,            0.016628,             0.35786,             0.20367,             0.13124,            0.045446,            0.077876,            0.027634,            0.022858,            0.006436,            0.006436,            0.006436
                  20,            0.070481,             0.04558,            0.015487,             0.40809,              0.2314,             0.18644,            0.081185,            0.074524,            0.027285,            0.022348,            0.006238,            0.006238,            0.006238
                  21,             0.06932,            0.048915,            0.013702,             0.37399,             0.21862,             0.16047,            0.064037,            0.077585,            0.028908,            0.022248,             0.00604,             0.00604,             0.00604
                  22,            0.071224,             0.04509,            0.013418,             0.44439,             0.23569,              0.1895,            0.075812,            0.074706,            0.027597,            0.020868,            0.005842,            0.005842,            0.005842
                  23,             0.06757,            0.044685,            0.011287,             0.33799,             0.29315,             0.24158,             0.10167,             0.07506,            0.026666,            0.019124,            0.005644,            0.005644,            0.005644
                  24,            0.068477,            0.045929,            0.012797,             0.41763,             0.24285,             0.24332,             0.11078,            0.072658,            0.026569,            0.018377,            0.005446,            0.005446,            0.005446
                  25,            0.063834,            0.042767,            0.013561,             0.34233,             0.27825,             0.24979,             0.10255,            0.073158,            0.027215,            0.019072,            0.005248,            0.005248,            0.005248
                  26,            0.063047,            0.044848,            0.012667,             0.32359,                0.25,             0.20895,            0.096893,            0.073134,            0.028171,            0.020549,             0.00505,             0.00505,             0.00505
                  27,            0.064838,            0.044064,            0.011658,             0.23475,             0.25794,             0.20007,            0.085689,            0.071736,             0.02865,            0.021699,            0.004852,            0.004852,            0.004852
                  28,            0.065619,            0.046899,           0.0093921,             0.28966,             0.30111,             0.24276,             0.11809,            0.071584,            0.028326,            0.019872,            0.004654,            0.004654,            0.004654
                  29,            0.062505,            0.042452,           0.0094023,              0.2657,             0.31106,             0.23193,              0.1117,            0.070794,            0.028582,            0.017577,            0.004456,            0.004456,            0.004456
                  30,            0.064789,            0.043417,            0.011925,             0.32119,             0.33313,             0.24109,             0.11012,            0.070867,            0.028804,            0.017711,            0.004258,            0.004258,            0.004258
                  31,            0.062828,            0.044826,           0.0091888,             0.48946,             0.30058,             0.27094,             0.11633,            0.069569,            0.028323,            0.017343,             0.00406,             0.00406,             0.00406
                  32,             0.06107,            0.046585,            0.012498,             0.39352,             0.35761,             0.28639,             0.12289,            0.069301,            0.027322,            0.015994,            0.003862,            0.003862,            0.003862
                  33,            0.059234,            0.043013,           0.0084842,             0.40664,             0.31538,             0.29684,             0.14959,            0.068245,            0.027689,            0.016378,            0.003664,            0.003664,            0.003664
                  34,            0.062692,            0.044729,             0.01181,             0.41968,             0.31459,             0.28052,              0.1243,            0.068919,            0.027784,            0.017818,            0.003466,            0.003466,            0.003466
                  35,            0.060032,            0.041336,            0.010813,             0.43373,             0.31057,             0.27839,             0.12709,            0.069637,            0.027746,            0.017983,            0.003268,            0.003268,            0.003268
                  36,            0.063173,             0.04414,           0.0092114,             0.45094,             0.29937,             0.29288,             0.13737,            0.068634,            0.028131,            0.018879,             0.00307,             0.00307,             0.00307
                  37,            0.059761,            0.045414,           0.0078694,             0.43592,             0.29634,             0.28951,             0.13235,            0.068884,             0.02899,            0.017983,            0.002872,            0.002872,            0.002872
                  38,            0.058912,            0.043904,           0.0080178,             0.40894,             0.30523,              0.2949,             0.13885,            0.068441,            0.028734,            0.019484,            0.002674,            0.002674,            0.002674
                  39,            0.058894,            0.043215,           0.0071837,             0.41808,             0.28222,             0.28103,             0.13823,             0.06875,            0.028911,             0.01848,            0.002476,            0.002476,            0.002476
                  40,            0.057283,             0.04478,           0.0066378,             0.42132,             0.31592,              0.2924,             0.14563,            0.068129,            0.029135,            0.018174,            0.002278,            0.002278,            0.002278
                  41,             0.05669,            0.041087,            0.011555,               0.398,             0.34496,             0.30207,             0.14448,             0.06814,            0.029014,            0.017619,             0.00208,             0.00208,             0.00208
                  42,            0.054593,             0.04044,           0.0093565,              0.3811,             0.32402,             0.30578,              0.1463,            0.068707,            0.028916,             0.01857,            0.001882,            0.001882,            0.001882
                  43,            0.058399,            0.045365,            0.006792,             0.49636,              0.2803,             0.29416,             0.14469,            0.068199,             0.02894,            0.018939,            0.001684,            0.001684,            0.001684
                  44,            0.056763,            0.044664,            0.011058,             0.51226,             0.28563,             0.30719,              0.1542,            0.067904,            0.029398,            0.019153,            0.001486,            0.001486,            0.001486
                  45,            0.056412,            0.042278,           0.0088456,             0.45332,             0.29796,             0.30601,             0.15457,            0.067665,             0.02951,            0.019375,            0.001288,            0.001288,            0.001288
                  46,            0.054605,             0.04442,           0.0072683,             0.45146,             0.32384,             0.30297,             0.16497,            0.066896,            0.029219,            0.019215,             0.00109,             0.00109,             0.00109
                  47,            0.056916,            0.043342,           0.0083535,             0.44595,             0.31872,             0.30527,             0.15512,            0.067227,            0.029488,            0.019561,            0.000892,            0.000892,            0.000892
                  48,            0.054408,             0.04065,           0.0055031,             0.47068,             0.31699,             0.29829,             0.15448,            0.067396,            0.029552,            0.020173,            0.000694,            0.000694,            0.000694
                  49,            0.056067,            0.041461,           0.0081795,              0.4638,             0.31271,             0.30371,             0.15721,            0.067257,            0.029527,            0.019992,            0.000496,            0.000496,            0.000496
